"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 31 18:51:56 GMT 2025","Sat May 31 18:51:57 GMT 2025","625","webkit","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add a coffee to the cart",""
"passed","Sat May 31 18:51:33 GMT 2025","Sat May 31 18:51:35 GMT 2025","2250","chromium","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to observe hover behavior",""
"passed","Sat May 31 18:51:28 GMT 2025","Sat May 31 18:51:28 GMT 2025","134","chromium","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify content type header",""
"passed","Sat May 31 18:51:45 GMT 2025","Sat May 31 18:51:46 GMT 2025","818","firefox","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should add a coffee to the cart from a mocked shopping page",""
"passed","Sat May 31 18:51:32 GMT 2025","Sat May 31 18:51:33 GMT 2025","426","chromium","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should add a coffee to the cart from a mocked shopping page",""
"passed","Sat May 31 18:51:35 GMT 2025","Sat May 31 18:51:37 GMT 2025","1181","chromium","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to drag and drop",""
"passed","Sat May 31 18:51:28 GMT 2025","Sat May 31 18:51:28 GMT 2025","152","chromium","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify specific coffee details",""
"passed","Sat May 31 18:51:57 GMT 2025","Sat May 31 18:51:58 GMT 2025","1657","webkit","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add multiple coffees to the cart (all 9)",""
"passed","Sat May 31 18:52:02 GMT 2025","Sat May 31 18:52:03 GMT 2025","743","webkit","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should handle error on mocked shopping page",""
"passed","Sat May 31 18:52:00 GMT 2025","Sat May 31 18:52:01 GMT 2025","852","webkit","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should be able to remove an item from the cart",""
"passed","Sat May 31 18:51:28 GMT 2025","Sat May 31 18:51:28 GMT 2025","385","chromium","coffee-cart.spec.ts","Coffee Cart Main Page","","","should load the coffee cart shopping page",""
"passed","Sat May 31 18:52:01 GMT 2025","Sat May 31 18:52:02 GMT 2025","822","webkit","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should add a coffee to the cart from a mocked shopping page",""
"passed","Sat May 31 18:51:41 GMT 2025","Sat May 31 18:51:43 GMT 2025","1658","firefox","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add multiple coffees to the cart (all 9)",""
"passed","Sat May 31 18:51:31 GMT 2025","Sat May 31 18:51:31 GMT 2025","404","chromium","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should be presented an offer after 3 in cart",""
"passed","Sat May 31 18:51:43 GMT 2025","Sat May 31 18:51:44 GMT 2025","750","firefox","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should be presented an offer after 3 in cart",""
"passed","Sat May 31 18:51:59 GMT 2025","Sat May 31 18:52:00 GMT 2025","663","webkit","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should have 1 item in the cart",""
"passed","Sat May 31 18:51:44 GMT 2025","Sat May 31 18:51:45 GMT 2025","680","firefox","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should have 1 item in the cart",""
"passed","Sat May 31 18:51:50 GMT 2025","Sat May 31 18:51:51 GMT 2025","1629","firefox","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to drag and drop",""
"passed","Sat May 31 18:51:29 GMT 2025","Sat May 31 18:51:31 GMT 2025","2279","chromium","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add multiple coffees to the cart (all 9)",""
"passed","Sat May 31 18:51:46 GMT 2025","Sat May 31 18:51:47 GMT 2025","758","firefox","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should handle error on mocked shopping page",""
"passed","Sat May 31 18:51:45 GMT 2025","Sat May 31 18:51:45 GMT 2025","672","firefox","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should be able to remove an item from the cart",""
"passed","Sat May 31 18:51:54 GMT 2025","Sat May 31 18:51:54 GMT 2025","372","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify content type header",""
"passed","Sat May 31 18:51:55 GMT 2025","Sat May 31 18:51:56 GMT 2025","1514","webkit","coffee-cart.spec.ts","Coffee Cart Main Page","","","should load the coffee cart shopping page",""
"passed","Sat May 31 18:52:02 GMT 2025","Sat May 31 18:52:05 GMT 2025","2410","webkit","eviltester.spec.ts","Evil Tester Test Page","","","Should be able to observe hover behavior",""
"passed","Sat May 31 18:51:53 GMT 2025","Sat May 31 18:51:53 GMT 2025","600","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should return 200 on GET list",""
"passed","Sat May 31 18:51:54 GMT 2025","Sat May 31 18:51:54 GMT 2025","502","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify specific coffee details",""
"passed","Sat May 31 18:51:28 GMT 2025","Sat May 31 18:51:29 GMT 2025","286","chromium","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add a coffee to the cart",""
