"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 31 00:25:29 GMT 2025","Thu Jul 31 00:25:31 GMT 2025","1816","webkit","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add multiple coffees to the cart (all 9)",""
"passed","Thu Jul 31 00:25:05 GMT 2025","Thu Jul 31 00:25:06 GMT 2025","955","firefox","coffee-cart.spec.ts","Coffee Cart Main Page","","","should load the coffee cart shopping page",""
"passed","Thu Jul 31 00:24:52 GMT 2025","Thu Jul 31 00:24:52 GMT 2025","176","chromium","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should validate schema of each coffee item",""
"passed","Thu Jul 31 00:25:32 GMT 2025","Thu Jul 31 00:25:33 GMT 2025","798","webkit","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should have 1 item in the cart",""
"passed","Thu Jul 31 00:24:53 GMT 2025","Thu Jul 31 00:24:55 GMT 2025","2305","chromium","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add multiple coffees to the cart (all 9)",""
"passed","Thu Jul 31 00:25:06 GMT 2025","Thu Jul 31 00:25:07 GMT 2025","651","firefox","coffee-cart.spec.ts","Coffee Cart - Add to Cart","","","should add a coffee to the cart",""
"passed","Thu Jul 31 00:25:34 GMT 2025","Thu Jul 31 00:25:35 GMT 2025","734","webkit","coffee-cart.spec.ts","Coffee Cart - Use a Mocked Shopping Page","","","Should handle error on mocked shopping page",""
"passed","Thu Jul 31 00:25:27 GMT 2025","Thu Jul 31 00:25:27 GMT 2025","441","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should validate recipe ingredients",""
"passed","Thu Jul 31 00:25:25 GMT 2025","Thu Jul 31 00:25:25 GMT 2025","385","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify specific coffee details",""
"passed","Thu Jul 31 00:24:52 GMT 2025","Thu Jul 31 00:24:52 GMT 2025","422","chromium","coffee-cart.spec.ts","Coffee Cart Main Page","","","should load the coffee cart shopping page",""
"passed","Thu Jul 31 00:25:01 GMT 2025","Thu Jul 31 00:25:03 GMT 2025","1317","firefox","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should return 200 on GET list",""
"passed","Thu Jul 31 00:24:51 GMT 2025","Thu Jul 31 00:24:52 GMT 2025","145","chromium","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should verify specific coffee details",""
"passed","Thu Jul 31 00:25:10 GMT 2025","Thu Jul 31 00:25:11 GMT 2025","794","firefox","coffee-cart.spec.ts","Coffee Cart - Items in cart","","","should have 1 item in the cart",""
"passed","Thu Jul 31 00:25:19 GMT 2025","Thu Jul 31 00:25:23 GMT 2025","4583","webkit","coffee-cart-api.spec.ts","Coffee Cart - GET API","","","should return 200 on GET list",""
